No.,"Main Process","Use Case / Activity",Relationship,"Related Use Case",Actor,Done,COMMENT
1,"User and Branch Access Management","Log In",,,"Admin / Owner; Front Desk Staff",CHECK,"Validate good credentials for each role"
2,"User and Branch Access Management","Authenticate Credentials",<<include>>,"Log In",System,CHECK,"Reject wrong password unknown login and inactive user"
3,"User and Branch Access Management","Identify Role and Branch Access",<<include>>,"Log In",System,CHECK,"Session must store user role and assigned branch"
4,"User and Branch Access Management","Open Role Dashboard",<<include>>,"Log In","Admin / Owner; Front Desk Staff",CHECK,"Redirect admin to admin dashboard and front desk to branch dashboard"
5,"User and Branch Access Management","View Dashboard",,,"Admin / Owner; Front Desk Staff",CHECK,"KPI cards alerts recent operations and recent jobs render by role"
6,"User and Branch Access Management","Block Unauthenticated Access",<<include>>,"Protected Pages",System,CHECK,"Signed out users must return to login"
7,"User and Branch Access Management","Block Wrong Role Access",<<include>>,"Protected Pages",System,CHECK,"Front desk cannot open admin pages and admin cannot perform front-desk-only mutations"
8,"User and Branch Access Management","Update Own Profile",,,"Admin / Owner; Front Desk Staff",CHECK,"Validate login ID duplicate checks display name and password updates"
9,"User and Branch Access Management","Change Password",<<extend>>,"Update Own Profile","Admin / Owner; Front Desk Staff",CHECK,"Require valid current password confirmation and minimum length"
10,"User and Branch Access Management","Log Out",<<extend>>,"Manage User Session","Admin / Owner; Front Desk Staff",CHECK,"Session destroyed and protected pages redirect to login"
11,"Notification Management","Manage Notifications",,,"Admin / Owner; Front Desk Staff",CHECK,"Notification center and header counts load by role and branch"
12,"Notification Management","View Notification Center",<<include>>,"Manage Notifications","Admin / Owner; Front Desk Staff",CHECK,"Low stock pending operation active job and transfer notices appear"
13,"Notification Management","Mark Notice Read or Unread",<<include>>,"Manage Notifications","Admin / Owner; Front Desk Staff",CHECK,"Only the signed-in user notification IDs are updated"
14,"Notification Management","Mark Multiple Notices",<<extend>>,"Mark Notice Read or Unread","Admin / Owner; Front Desk Staff",CHECK,"Up to 100 IDs accepted duplicates ignored"
15,"Notification Management","Receive Low Stock Notice",<<extend>>,"View Notification Center","Admin / Owner; Front Desk Staff",CHECK,"Count only accessible inventory records"
16,"Notification Management","Receive Pending Operation Notice",<<extend>>,"View Notification Center","Admin / Owner; Front Desk Staff",CHECK,"Pending service operations are scoped by role and branch"
17,"Notification Management","Receive Active Job Notice",<<extend>>,"View Notification Center","Admin / Owner; Front Desk Staff",CHECK,"Waiting and in-progress jobs are counted correctly"
18,"Notification Management","Receive Transfer Notice",<<extend>>,"View Notification Center","Donor Branch Front Desk; Requesting Branch Front Desk",CHECK,"Requester and donor receive correct transfer updates"
19,"Customer and Vehicle Records Management","Search and Filter Records",,,"Admin / Owner; Front Desk Staff",CHECK,"Search by customer vehicle and branch with safe empty states"
